1773679388.9754443 [INFO] [launch]: All log files can be found below /home/jia/.ros/log/2026-03-17-00-43-08-974608-LAPTOP-QBFAPHDE-17835
1773679388.9755764 [INFO] [launch]: Default logging verbosity is set to INFO
1773679404.8454566 [INFO] [component_container_isolated-1]: process started with pid [17868]
1773679404.8455944 [INFO] [rviz2-2]: process started with pid [17870]
1773679405.4853077 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/map_server' in container '/nav2_container'
1773679406.7387178 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/controller_server' in container '/nav2_container'
1773679406.8497941 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/amcl' in container '/nav2_container'
1773679407.2292218 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/smoother_server' in container '/nav2_container'
1773679407.3020854 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/lifecycle_manager_localization' in container '/nav2_container'
1773679407.7468936 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/planner_server' in container '/nav2_container'
1773679408.0802400 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/behavior_server' in container '/nav2_container'
1773679408.1177623 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/bt_navigator' in container '/nav2_container'
1773679408.2436669 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/waypoint_follower' in container '/nav2_container'
1773679408.2699351 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/velocity_smoother' in container '/nav2_container'
1773679408.3009186 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/lifecycle_manager_navigation' in container '/nav2_container'
1773679723.7443943 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT)
1773679723.9869580 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679724.2124519 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679724.4391825 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679724.7208748 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679728.9881558 [ERROR] [rviz2-2]: process[rviz2-2] failed to terminate '5' seconds after receiving 'SIGINT', escalating to 'SIGTERM'
1773679728.9884965 [INFO] [rviz2-2]: sending signal 'SIGTERM' to process[rviz2-2]
1773679731.5866089 [ERROR] [rviz2-2]: process has died [pid 17870, exit code -6, cmd '/opt/ros/humble/lib/rviz2/rviz2 -d /opt/ros/humble/share/nav2_bringup/rviz/nav2_default_view.rviz --ros-args -r __node:=rviz2 --params-file /tmp/launch_params_3j9xl1ki'].
1773679731.8797593 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679746.3925626 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679747.3765352 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679747.7856371 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679748.2125449 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679748.7587495 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679749.2782404 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679749.8502021 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679750.4974203 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679750.8356848 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679751.0724699 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679751.2969508 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679751.5137744 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679751.7347651 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679751.9444478 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679752.1417906 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679752.3796885 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679752.5994546 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679752.8078811 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679753.0204370 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679753.2336261 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679753.4424891 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679753.6481736 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679753.8573558 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679754.0779140 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679754.7073474 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679754.7388363 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679754.7701044 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679754.8007333 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679754.8330548 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679754.8636270 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679754.8950634 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679754.9265566 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679754.9579597 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679754.9913499 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.0214524 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.0524900 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.0839384 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.1153460 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.1468112 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.1784673 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.2098196 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.2413068 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.2726679 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.3042369 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.3355675 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.3671029 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.3986604 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.4300854 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
